order,x,z
0,0.051905,0.103257
1,0.053287,0.103236
2,0.054668,0.104997
3,0.056050,0.106635
4,0.057432,0.108367
5,0.058814,0.109624
6,0.060196,0.110985
7,0.061578,0.112465
8,0.062959,0.113341
9,0.064341,0.113599
10,0.065723,0.114538
11,0.067105,0.114722
12,0.068487,0.115306
13,0.069869,0.115881
14,0.071250,0.116472
15,0.072632,0.117580
16,0.074014,0.118524
17,0.075396,0.118598
18,0.076778,0.119590
19,0.078159,0.120566
20,0.079541,0.121143
21,0.080923,0.121461
22,0.082305,0.121599
23,0.083687,0.121765
24,0.085069,0.121853
25,0.086450,0.121918
26,0.087832,0.121949
27,0.089214,0.121992
28,0.090596,0.122041
29,0.091978,0.122113
30,0.093360,0.122145
31,0.094741,0.122238
32,0.096123,0.122305
33,0.097505,0.122393
34,0.098887,0.122471
35,0.100269,0.122592
36,0.101651,0.122682
37,0.103032,0.122914
38,0.104414,0.123152
39,0.105796,0.123205
