key,ipa,label_ko,category,source,sigma,GGP,GGM,GGA,STY,GH,MH,HG,VERT,TRANS,IL,SL,refs
i_front,i,고전설 /i/,vowel,lit,0.08,0.5,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,B09;H96
ih_lax,ɪ,근고전설 /ɪ/,vowel,lit,0.12,0.4,0.0,0.38,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,ST25;interp(i)
e_mid,e,중전설 /e/,vowel,interp,0.12,0.42,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,interp(i–a);H96
eps_open,ɛ,개중전설 /ɛ/,vowel,lit,0.12,0.28,0.0,0.42,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,ST25;interp(i–a)
ae_near,æ,근개전설 /æ/,vowel,lit,0.12,0.0,0.0,0.48,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,ST25;interp(a–ɛ)
a_low,a,저설 /a/,vowel,lit,0.08,0.0,0.0,0.45,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,B09;H96;TH07
alpha_bk,ɑ,저후설 /ɑ/,vowel,lit,0.1,0.0,0.0,0.0,0.28,0.0,0.0,0.55,0.0,0.0,0.0,0.0,H96;TH07
open_o,ɔ,개중후설 /ɔ/,vowel,interp,0.12,0.0,0.0,0.0,0.38,0.2,0.0,0.42,0.0,0.0,0.0,0.0,interp(ɑ–u);TH07
o_mid,o,중후설 /o/,vowel,interp,0.12,0.38,0.0,0.0,0.42,0.38,0.0,0.0,0.0,0.0,0.0,0.0,interp(u–ɑ);TH07
u_back,u,고후설 /u/,vowel,lit,0.08,0.42,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.3,B09;TH07;X22
uh_lax,ʊ,근고후설 /ʊ/,vowel,lit,0.12,0.35,0.0,0.0,0.4,0.32,0.0,0.0,0.0,0.0,0.0,0.0,ST25;interp(u)
barred_i,ɨ,고중설 /ɨ/,vowel,interp,0.12,0.4,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interp(i–u);H96
schwa,ə,중설 슈와 /ə/,vowel,lit,0.14,0.2,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F06;X22
alveolar,t d s,"치경음 /t,d,s/",consonant,lit,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.22,0.38,0.38,0.0,0.32,H17;X22
velar,k g,"연구개 /k,g/",consonant,lit,0.1,0.5,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H17;X22
velar_ng,ŋ,연구개 비음 /ŋ/,consonant,interp,0.12,0.46,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interp(k);H17
palatal,j,경구개 /j/,consonant,interp,0.1,0.46,0.0,0.46,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,interp(≈i);B09
lateral,l,설측음 /l/,consonant,lit,0.12,0.2,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,C24;H17
rhotic,r,권설/후설 /r/,consonant,lit,0.14,0.38,0.0,0.3,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S12r
postalv,ʃ ʒ,"후치경 /ʃ,ʒ/",consonant,interp,0.12,0.0,0.0,0.35,0.25,0.0,0.0,0.0,0.0,0.38,0.0,0.25,X22(/s/);interp(+retract)
retract,-,후퇴,functional,lit,0.08,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,H96
protrude,-,돌출,functional,lit,0.08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.35,0.0,0.0,H17;X22
tip_up,-,혀끝 올림,functional,anat,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,C24(anat)
tip_down,-,혀끝 내림,functional,anat,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,C24(anat)
flatten,-,혀 납작,functional,anat,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,C24(anat)
narrow,-,혀 좁힘,functional,anat,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,C24(anat)
